mssv,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh2,diachi_tinhtp,xeploai,soquyetdinh,ngaycapvb,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,diemrl_TB,dtb_hk1,dtb_hk2,dtb_hk3,dtb_hk4,dtb_hk5,dtb_hk6,dtb_hk7,dtb_hk8,dtb_hk9,dtb_hk10,chungchi_av,dtb_toankhoa,dtb_tichluy,sotc_tichluy,sotc_hk1,sotc_hk2,sotc_hk3,sotc_hk4,sotc_hk5,sotc_hk6,sotc_hk7,sotc_hk8,sotc_hk9,sotc_hk10,sotc_daura,hocky_thu,label
A6066FB1XPvAibaEXe8ydgsBCmjqAwCLOP/9AoDk,1995,Nam, Phú Yên, KTPM0001, CNPM, CQUI,2013, D480103, Tỉnh Phú Yên, 542/QĐ_ĐHCNTT, 542/QĐ_ĐHCNTT,2020-08-31,82,79,86,82,82,82,82,82,82,-1,82,6.03,4.97,6.35,7.36,6.19,6.07,6.4,5.06,7.61,-1.0,0,6.84,6.84,179,18,19,24,15,14,24,23,18,24,-1,136,9,0
1D5EC289XPvAibaEXe+1P/4gNbgreeJ2VIlZrW72,1995,Nam, Lâm Đồng, MMTT2013, MMT&TT, CQUI,2013, D480102, Tỉnh Lâm Đồng,,,,37,37,37,37,-1,-1,-1,-1,-1,-1,37,2.32,0.0,0.0,0.23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1.05,5.57,64,22,16,10,16,-1,-1,-1,-1,-1,-1,121,4,1
C6FDC4ACXPvAibaEXe8jolcsAIssTEE3N5g9BgT7,1995,Nam, TP. Hồ Chí Minh, HTTT2013, HTTT, CQUI,2013, D480104, Quận Thủ Đức,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,18,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,1,1
C6D87955XPvAibaEXe8ooYk4mkUGmC0EOMKX8NpL,1994,Nam, Đắk Lắk, KTMT0001, KTMT, CQUI,2013, D520214, Tỉnh Đắk Lắk,,,,86,82,91,86,86,86,86,86,86,86,86,6.07,5.97,7.71,6.79,5.96,5.76,6.96,6.76,7.18,6.41,0,6.79,6.79,171,22,18,7,21,20,16,20,21,13,13,156,10,0
E997D336XPvAibaEXe+cD1fKElqxL3Gg+IEXlrlL,1995,Nam, Bình Thuận, CNTT2013, KTTT, CQUI,2013, D480201, Huyện Tánh Linh,,,,12,54,-30,12,12,-1,-1,-1,-1,-1,12,3.8,0.0,0.0,0.0,0.06,-1.0,-1.0,-1.0,-1.0,-1.0,0,1.03,5.93,110,22,21,13,28,26,-1,-1,-1,-1,-1,125,5,1
1D20ED25XPvAibaEXe8wlx2/dthDAqWOPv1DTtL1,1994,Nam, Đồng Tháp, HTTT2013, HTTT, CQUI,2013, D480104, Tỉnh Đồng Tháp,,,,69,68,68,70,69,69,69,69,69,69,69,3.18,2.88,7.5,4.27,6.55,6.2,4.18,6.3,6.3,3.69,0,4.37,6.59,165,22,16,4,24,26,4,24,21,3,21,140,10,0
E99E9EA2XPvAibaEXe+LLvbxzunmJFOIkyW9ng8u,1995,Nam, Quảng Ngãi, ANTN2013, MMT&TT, KSTN,2013, D480299, Tỉnh Quảng Ngãi, 823/QĐ_ĐHCNTT, 823/QĐ_ĐHCNTT,2017-11-21,100,100,100,100,100,100,100,100,100,-1,100,7.95,8.29,8.53,8.71,7.21,8.75,8.8,8.82,8.49,-1.0,0,8.32,8.32,145,22,21,18,18,18,14,3,15,16,-1,121,9,0
72BA0955XPvAibaEXe+5oCRQPDKXsjOZ+8Ge9FSz,1995,Nam, Bình Thuận, MMTT0001, MMT&TT, CQUI,2013, D480102, Tỉnh Đồng Nai,,,,78,76,81,78,78,78,78,78,78,78,78,5.27,4.45,5.64,6.76,6.95,7.93,7.32,6.21,5.81,7.15,0,6.61,6.73,162,22,22,7,19,19,7,18,18,19,11,121,10,0
C6AAE126XPvAibaEXe/FWKstHRRDnf0u81vfcV3u,1995,Nữ, An Giang, HTTT0001, HTTT, CQUI,2013, D52480104, Tỉnh An Giang, 621/QĐ-ĐHCNTT, 621/QĐ-ĐHCNTT,2018-10-10,58,59,57,58,58,58,58,58,58,58,58,6.2,4.84,6.24,7.75,6.83,7.63,6.67,7.0,7.63,5.3,1,6.94,7.02,177,22,22,19,22,7,13,25,26,14,7,140,10,0
A51D3E41XPvAibaEXe/uH+ehSKMSjcnvclj+jKaO,1995,Nam, TP. Hồ Chí Minh, ANTN2013, MMT&TT, KSTN,2013, D480299, Thành phố Hồ Chí Minh,,,,88,93,82,88,-1,-1,-1,-1,-1,-1,88,7.98,8.79,8.38,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,6.33,8.37,86,22,21,22,21,-1,-1,-1,-1,-1,-1,121,4,1
483CDFA0XPvAibaEXe97hU2RTHdNnNgOjGYTeaj2,1995,Nam, Đắk Nông, MMTT0001, MMT&TT, CQUI,2013, D480299, Tỉnh Đắk Nông,,,,85,88,84,82,85,85,85,85,-1,-1,85,6.84,7.81,7.36,8.07,7.43,7.98,7.31,7.48,-1.0,-1.0,0,7.51,7.51,150,22,21,22,19,18,14,15,19,-1,-1,121,8,0
1CE4CDB2XPvAibaEXe8ge2UHv4J4ByS1Gt3OtWsA,1995,Nam, TP. Hồ Chí Minh, KHMT0001, KHMT, CQUI,2013, D480101, Thành phố Hồ Chí Minh, 13/QĐ-ĐHCNTT, 13/QĐ-ĐHCNTT,2019-01-10,84,86,82,84,84,84,84,84,84,-1,84,5.98,6.77,7.05,7.34,7.65,7.93,7.51,7.15,7.0,-1.0,1,7.34,7.34,155,22,15,20,16,13,19,22,24,4,-1,126,9,0
A51F3DE3XPvAibaEXe/Xn8KZjn44cQKIn5UAq1YD,1995,Nam, Gia Lai, CNTT0001, KTTT, CQUI,2013, D480201, Tỉnh Gia Lai,,,,78,92,78,63,78,78,78,78,-1,-1,78,5.27,6.29,7.15,6.49,6.95,6.99,6.27,7.46,-1.0,-1.0,0,6.65,6.81,158,22,19,23,24,15,18,20,17,-1,-1,125,8,0
C64D90E5XPvAibaEXe9iKIRwqei6/FXZkk7l9+S5,1995,Nam, Long An, KHMT2013, KHMT, CQUI,2013, D480101, Tỉnh Long An,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,22,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,126,1,1
7259E977XPvAibaEXe86736b6Ol+/PreEMY8ftS4,1995,Nam, TP. Hồ Chí Minh, CTTT2013, HTTT, CTTT,2013, D480104, Thành phố Hồ Chí Minh, 222/QĐ-ĐHCNTT, 222/QĐ-ĐHCNTT,2018-04-10,98,100,100,93,98,98,98,98,98,98,98,6.66,6.35,9.5,6.76,7.1,9.0,8.42,7.33,7.5,8.7,1,7.9,7.9,124,19,10,3,21,17,4,16,20,4,10,121,10,0
E9BBDEFAXPvAibaEXe/Dy4K4yiQpOCeGcJ6wYi83,1995,Nam, An Giang, ANTT2013, MMT&TT, CQUI,2013, D480299, Tỉnh An Giang, 233/QĐ-ĐHCNTT, 233/QĐ-ĐHCNTT,2018-04-16,91,88,90,94,91,91,91,91,91,91,91,5.47,7.26,6.5,7.67,8.12,8.65,8.46,8.53,8.02,8.56,1,7.88,7.88,170,18,21,3,23,21,19,17,15,17,16,121,10,0
C63128F5XPvAibaEXe9Z67almz7y5mrP6fB5MbAb,1995,Nam, Long An, MMTT2013, MMT&TT, CQUI,2013, D480102, Tỉnh Long An, 222/QĐ-ĐHCNTT, 222/QĐ-ĐHCNTT,2018-04-10,86,97,74,86,86,86,86,86,86,86,86,5.82,6.83,6.29,6.88,7.83,8.8,6.76,7.55,7.28,8.11,0,7.3,7.3,151,22,20,7,25,16,3,14,15,15,14,121,10,0
